prompt_id,source_workload_id,prompt,target_sla,target_energy,target_imbalance,target_fairness,target_carbon
prompt-000752,workload-003488,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=2; regime=burst; cpu=6.07; memory_gb=23.44; latency_budget_ms=291.7; energy_sensitivity=0.80; edge_locality=0.31",0.2,0.3,0.17,0.1,0.23
prompt-000753,workload-000418,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=1; regime=normal; cpu=0.52; memory_gb=2.39; latency_budget_ms=49.2; energy_sensitivity=0.45; edge_locality=0.81",0.53,0.13,0.13,0.08,0.13
prompt-000754,workload-004097,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: hybrid microservice chain with variable compute and latency demand; priority=2; regime=energy-scarcity; cpu=3.17; memory_gb=8.44; latency_budget_ms=190.6; energy_sensitivity=0.36; edge_locality=0.81",0.29,0.28,0.14,0.13,0.16
prompt-000755,workload-003012,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: hybrid microservice chain with variable compute and latency demand; priority=2; regime=burst; cpu=4.34; memory_gb=12.71; latency_budget_ms=223.1; energy_sensitivity=0.63; edge_locality=0.60",0.31,0.23,0.18,0.15,0.13
prompt-000756,workload-003638,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=3; regime=burst; cpu=3.58; memory_gb=0.83; latency_budget_ms=48.3; energy_sensitivity=0.59; edge_locality=0.86",0.59,0.1,0.13,0.08,0.1
prompt-000757,workload-004210,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: hybrid microservice chain with variable compute and latency demand; priority=2; regime=energy-scarcity; cpu=3.77; memory_gb=7.38; latency_budget_ms=164.2; energy_sensitivity=0.79; edge_locality=0.72",0.26,0.28,0.15,0.15,0.16
prompt-000758,workload-001418,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=3; regime=high-contention; cpu=5.44; memory_gb=9.06; latency_budget_ms=254.7; energy_sensitivity=0.95; edge_locality=0.28",0.26,0.27,0.17,0.1,0.2
prompt-000759,workload-002846,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=1; regime=burst; cpu=5.85; memory_gb=14.63; latency_budget_ms=269.4; energy_sensitivity=0.80; edge_locality=0.00",0.2,0.3,0.17,0.1,0.23
prompt-000760,workload-001848,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=1; regime=high-contention; cpu=3.78; memory_gb=3.75; latency_budget_ms=92.4; energy_sensitivity=0.48; edge_locality=0.56",0.45,0.14,0.18,0.13,0.1
prompt-000761,workload-001887,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=2; regime=high-contention; cpu=1.74; memory_gb=6.20; latency_budget_ms=85.7; energy_sensitivity=0.38; edge_locality=0.36",0.45,0.14,0.18,0.13,0.1
prompt-000762,workload-003326,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=2; regime=burst; cpu=4.57; memory_gb=16.20; latency_budget_ms=328.1; energy_sensitivity=0.75; edge_locality=0.35",0.2,0.3,0.17,0.1,0.23
prompt-000763,workload-002494,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=2; regime=high-contention; cpu=6.92; memory_gb=19.67; latency_budget_ms=225.2; energy_sensitivity=0.73; edge_locality=0.27",0.2,0.3,0.17,0.1,0.23
prompt-000764,workload-004047,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: hybrid microservice chain with variable compute and latency demand; priority=3; regime=energy-scarcity; cpu=2.94; memory_gb=8.96; latency_budget_ms=251.2; energy_sensitivity=0.64; edge_locality=0.69",0.32,0.25,0.15,0.15,0.13
prompt-000765,workload-000872,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=1; regime=normal; cpu=2.03; memory_gb=4.22; latency_budget_ms=57.5; energy_sensitivity=0.44; edge_locality=0.82",0.53,0.13,0.13,0.08,0.13
prompt-000766,workload-001982,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=high-contention; cpu=0.63; memory_gb=4.86; latency_budget_ms=38.2; energy_sensitivity=0.42; edge_locality=0.79",0.5,0.13,0.14,0.1,0.13
prompt-000767,workload-000440,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=3; regime=normal; cpu=1.73; memory_gb=3.82; latency_budget_ms=39.3; energy_sensitivity=0.40; edge_locality=0.76",0.56,0.1,0.14,0.1,0.1
prompt-000768,workload-003224,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=1; regime=burst; cpu=1.65; memory_gb=7.41; latency_budget_ms=78.2; energy_sensitivity=0.23; edge_locality=0.30",0.45,0.14,0.18,0.13,0.1
prompt-000769,workload-004034,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=energy-scarcity; cpu=1.98; memory_gb=1.75; latency_budget_ms=47.5; energy_sensitivity=0.50; edge_locality=0.85",0.48,0.18,0.1,0.08,0.16
prompt-000770,workload-004942,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=3; regime=energy-scarcity; cpu=0.85; memory_gb=5.44; latency_budget_ms=79.0; energy_sensitivity=0.37; edge_locality=0.27",0.46,0.16,0.15,0.13,0.1
prompt-000771,workload-000878,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=2; regime=normal; cpu=4.92; memory_gb=4.49; latency_budget_ms=308.8; energy_sensitivity=0.99; edge_locality=0.27",0.2,0.3,0.17,0.1,0.23
prompt-000772,workload-001377,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=1; regime=high-contention; cpu=0.75; memory_gb=3.08; latency_budget_ms=115.1; energy_sensitivity=0.33; edge_locality=0.28",0.45,0.14,0.18,0.13,0.1
prompt-000773,workload-003365,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: hybrid microservice chain with variable compute and latency demand; priority=2; regime=burst; cpu=3.50; memory_gb=16.27; latency_budget_ms=109.5; energy_sensitivity=0.44; edge_locality=0.78",0.31,0.23,0.18,0.15,0.13
prompt-000774,workload-001226,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=2; regime=normal; cpu=1.33; memory_gb=2.72; latency_budget_ms=84.0; energy_sensitivity=0.40; edge_locality=0.51",0.45,0.14,0.18,0.13,0.1
prompt-000775,workload-004622,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=energy-scarcity; cpu=0.88; memory_gb=1.90; latency_budget_ms=47.8; energy_sensitivity=0.46; edge_locality=0.99",0.48,0.18,0.1,0.08,0.16
prompt-000776,workload-001930,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=high-contention; cpu=1.03; memory_gb=0.60; latency_budget_ms=59.3; energy_sensitivity=0.58; edge_locality=0.87",0.53,0.13,0.13,0.08,0.13
prompt-000777,workload-003141,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=burst; cpu=2.72; memory_gb=5.31; latency_budget_ms=55.1; energy_sensitivity=0.36; edge_locality=0.98",0.53,0.13,0.13,0.08,0.13
prompt-000778,workload-003734,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=3; regime=burst; cpu=3.91; memory_gb=8.25; latency_budget_ms=121.3; energy_sensitivity=0.36; edge_locality=0.58",0.51,0.11,0.18,0.13,0.07
prompt-000779,workload-000800,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: hybrid microservice chain with variable compute and latency demand; priority=2; regime=normal; cpu=5.09; memory_gb=13.68; latency_budget_ms=214.1; energy_sensitivity=0.62; edge_locality=0.62",0.31,0.23,0.18,0.15,0.13
prompt-000780,workload-002881,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=2; regime=burst; cpu=4.39; memory_gb=5.28; latency_budget_ms=109.8; energy_sensitivity=0.29; edge_locality=0.47",0.45,0.14,0.18,0.13,0.1
prompt-000781,workload-002838,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=burst; cpu=2.06; memory_gb=5.39; latency_budget_ms=44.7; energy_sensitivity=0.40; edge_locality=0.89",0.53,0.13,0.13,0.08,0.13
prompt-000782,workload-001503,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: hybrid microservice chain with variable compute and latency demand; priority=2; regime=high-contention; cpu=6.17; memory_gb=14.46; latency_budget_ms=118.3; energy_sensitivity=0.57; edge_locality=0.32",0.31,0.23,0.18,0.15,0.13
prompt-000783,workload-001666,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=2; regime=high-contention; cpu=4.44; memory_gb=17.59; latency_budget_ms=254.4; energy_sensitivity=0.99; edge_locality=0.21",0.2,0.3,0.17,0.1,0.23
prompt-000784,workload-002438,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=2; regime=high-contention; cpu=1.94; memory_gb=5.79; latency_budget_ms=98.5; energy_sensitivity=0.25; edge_locality=0.54",0.45,0.14,0.18,0.13,0.1
prompt-000785,workload-001112,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=1; regime=normal; cpu=2.25; memory_gb=3.03; latency_budget_ms=36.2; energy_sensitivity=0.55; edge_locality=0.87",0.53,0.13,0.13,0.08,0.13
prompt-000786,workload-003450,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=2; regime=burst; cpu=10.67; memory_gb=18.93; latency_budget_ms=226.5; energy_sensitivity=0.77; edge_locality=0.19",0.2,0.3,0.17,0.1,0.23
prompt-000787,workload-000355,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=1; regime=normal; cpu=2.50; memory_gb=15.77; latency_budget_ms=273.8; energy_sensitivity=0.75; edge_locality=0.27",0.2,0.3,0.17,0.1,0.23
prompt-000788,workload-004657,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=3; regime=energy-scarcity; cpu=0.82; memory_gb=5.38; latency_budget_ms=53.5; energy_sensitivity=0.41; edge_locality=0.78",0.51,0.15,0.11,0.1,0.13
prompt-000789,workload-001686,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=2; regime=high-contention; cpu=2.50; memory_gb=13.74; latency_budget_ms=242.0; energy_sensitivity=0.72; edge_locality=0.25",0.2,0.3,0.17,0.1,0.23
prompt-000790,workload-003895,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=1; regime=energy-scarcity; cpu=1.17; memory_gb=4.78; latency_budget_ms=41.0; energy_sensitivity=0.47; edge_locality=0.93",0.48,0.18,0.1,0.08,0.16
prompt-000791,workload-004966,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: hybrid microservice chain with variable compute and latency demand; priority=2; regime=energy-scarcity; cpu=3.34; memory_gb=9.98; latency_budget_ms=119.3; energy_sensitivity=0.77; edge_locality=0.30",0.26,0.28,0.15,0.15,0.16
prompt-000792,workload-003523,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=burst; cpu=1.30; memory_gb=3.97; latency_budget_ms=57.7; energy_sensitivity=0.62; edge_locality=0.99",0.53,0.13,0.13,0.08,0.13
prompt-000793,workload-002323,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=high-contention; cpu=0.94; memory_gb=3.14; latency_budget_ms=35.6; energy_sensitivity=0.43; edge_locality=0.82",0.53,0.13,0.13,0.08,0.13
prompt-000794,workload-002395,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=high-contention; cpu=1.57; memory_gb=0.85; latency_budget_ms=49.2; energy_sensitivity=0.58; edge_locality=0.96",0.53,0.13,0.13,0.08,0.13
prompt-000795,workload-000764,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=3; regime=normal; cpu=3.90; memory_gb=19.72; latency_budget_ms=286.6; energy_sensitivity=0.86; edge_locality=0.34",0.26,0.27,0.17,0.1,0.2
prompt-000796,workload-004997,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=energy-scarcity; cpu=3.00; memory_gb=4.42; latency_budget_ms=57.4; energy_sensitivity=0.60; edge_locality=0.76",0.45,0.18,0.11,0.1,0.16
prompt-000797,workload-002563,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=burst; cpu=2.73; memory_gb=6.70; latency_budget_ms=51.6; energy_sensitivity=0.52; edge_locality=0.80",0.5,0.13,0.14,0.1,0.13
prompt-000798,workload-003342,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=1; regime=burst; cpu=7.75; memory_gb=21.92; latency_budget_ms=281.7; energy_sensitivity=0.74; edge_locality=0.05",0.2,0.3,0.17,0.1,0.23
prompt-000799,workload-001030,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: hybrid microservice chain with variable compute and latency demand; priority=2; regime=normal; cpu=1.52; memory_gb=7.14; latency_budget_ms=116.8; energy_sensitivity=0.43; edge_locality=0.31",0.31,0.23,0.18,0.15,0.13
prompt-000800,workload-000279,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=1; regime=normal; cpu=0.89; memory_gb=5.23; latency_budget_ms=95.1; energy_sensitivity=0.32; edge_locality=0.60",0.45,0.14,0.18,0.13,0.1
prompt-000801,workload-003190,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=1; regime=burst; cpu=3.50; memory_gb=5.48; latency_budget_ms=105.9; energy_sensitivity=0.22; edge_locality=0.55",0.45,0.14,0.18,0.13,0.1
prompt-000802,workload-003822,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=1; regime=energy-scarcity; cpu=2.53; memory_gb=19.17; latency_budget_ms=247.7; energy_sensitivity=0.90; edge_locality=0.18",0.15,0.35,0.14,0.1,0.26
prompt-000803,workload-001770,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=1; regime=high-contention; cpu=2.30; memory_gb=8.79; latency_budget_ms=333.2; energy_sensitivity=0.73; edge_locality=0.31",0.2,0.3,0.17,0.1,0.23
prompt-000804,workload-002750,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: hybrid microservice chain with variable compute and latency demand; priority=1; regime=burst; cpu=6.15; memory_gb=6.66; latency_budget_ms=121.6; energy_sensitivity=0.49; edge_locality=0.82",0.34,0.23,0.17,0.13,0.13
prompt-000805,workload-002180,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=3; regime=high-contention; cpu=7.63; memory_gb=18.11; latency_budget_ms=268.6; energy_sensitivity=0.84; edge_locality=0.29",0.26,0.27,0.17,0.1,0.2
prompt-000806,workload-001818,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=1; regime=high-contention; cpu=3.06; memory_gb=1.23; latency_budget_ms=87.9; energy_sensitivity=0.21; edge_locality=0.59",0.45,0.14,0.18,0.13,0.1
prompt-000807,workload-004681,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: hybrid microservice chain with variable compute and latency demand; priority=1; regime=energy-scarcity; cpu=5.47; memory_gb=6.60; latency_budget_ms=85.5; energy_sensitivity=0.40; edge_locality=0.39",0.26,0.28,0.15,0.15,0.16
prompt-000808,workload-001998,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=3; regime=high-contention; cpu=3.19; memory_gb=2.96; latency_budget_ms=54.8; energy_sensitivity=0.51; edge_locality=0.85",0.59,0.1,0.13,0.08,0.1
prompt-000809,workload-002985,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: hybrid microservice chain with variable compute and latency demand; priority=1; regime=burst; cpu=7.01; memory_gb=5.69; latency_budget_ms=187.1; energy_sensitivity=0.81; edge_locality=0.25",0.31,0.23,0.18,0.15,0.13
prompt-000810,workload-001560,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=3; regime=high-contention; cpu=7.56; memory_gb=19.64; latency_budget_ms=324.6; energy_sensitivity=0.78; edge_locality=0.29",0.26,0.27,0.17,0.1,0.2
prompt-000811,workload-000235,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=normal; cpu=2.93; memory_gb=4.22; latency_budget_ms=49.0; energy_sensitivity=0.45; edge_locality=0.97",0.53,0.13,0.13,0.08,0.13
prompt-000812,workload-002136,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: hybrid microservice chain with variable compute and latency demand; priority=2; regime=high-contention; cpu=5.58; memory_gb=6.29; latency_budget_ms=147.7; energy_sensitivity=0.74; edge_locality=0.74",0.31,0.23,0.18,0.15,0.13
prompt-000813,workload-003536,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=burst; cpu=4.02; memory_gb=6.51; latency_budget_ms=51.4; energy_sensitivity=0.57; edge_locality=0.96",0.53,0.13,0.13,0.08,0.13
prompt-000814,workload-003459,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: hybrid microservice chain with variable compute and latency demand; priority=2; regime=burst; cpu=1.75; memory_gb=12.99; latency_budget_ms=173.2; energy_sensitivity=0.87; edge_locality=0.35",0.31,0.23,0.18,0.15,0.13
prompt-000815,workload-004056,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=1; regime=energy-scarcity; cpu=1.79; memory_gb=3.75; latency_budget_ms=37.7; energy_sensitivity=0.36; edge_locality=0.91",0.48,0.18,0.1,0.08,0.16
prompt-000816,workload-002679,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=burst; cpu=2.97; memory_gb=4.84; latency_budget_ms=46.8; energy_sensitivity=0.41; edge_locality=0.98",0.53,0.13,0.13,0.08,0.13
prompt-000817,workload-002614,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=2; regime=burst; cpu=4.34; memory_gb=4.72; latency_budget_ms=123.4; energy_sensitivity=0.23; edge_locality=0.53",0.45,0.14,0.18,0.13,0.1
prompt-000818,workload-001711,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=high-contention; cpu=0.91; memory_gb=1.06; latency_budget_ms=57.6; energy_sensitivity=0.43; edge_locality=0.91",0.53,0.13,0.13,0.08,0.13
prompt-000819,workload-003886,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=2; regime=energy-scarcity; cpu=0.86; memory_gb=3.31; latency_budget_ms=118.4; energy_sensitivity=0.49; edge_locality=0.35",0.4,0.19,0.15,0.13,0.13
prompt-000820,workload-002176,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=3; regime=high-contention; cpu=1.38; memory_gb=4.81; latency_budget_ms=51.1; energy_sensitivity=0.42; edge_locality=0.86",0.59,0.1,0.13,0.08,0.1
prompt-000821,workload-003126,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=1; regime=burst; cpu=1.31; memory_gb=5.52; latency_budget_ms=54.3; energy_sensitivity=0.37; edge_locality=0.90",0.53,0.13,0.13,0.08,0.13
prompt-000822,workload-003023,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=1; regime=burst; cpu=2.92; memory_gb=5.77; latency_budget_ms=108.8; energy_sensitivity=0.21; edge_locality=0.52",0.45,0.14,0.18,0.13,0.1
prompt-000823,workload-001152,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: hybrid microservice chain with variable compute and latency demand; priority=2; regime=normal; cpu=1.96; memory_gb=13.67; latency_budget_ms=244.4; energy_sensitivity=0.52; edge_locality=0.66",0.31,0.23,0.18,0.15,0.13
prompt-000824,workload-003590,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=1; regime=burst; cpu=3.48; memory_gb=6.35; latency_budget_ms=110.1; energy_sensitivity=0.37; edge_locality=0.39",0.45,0.14,0.18,0.13,0.1
prompt-000825,workload-000607,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=2; regime=normal; cpu=2.49; memory_gb=2.59; latency_budget_ms=118.9; energy_sensitivity=0.43; edge_locality=0.67",0.45,0.14,0.18,0.13,0.1
prompt-000826,workload-002639,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=1; regime=burst; cpu=4.45; memory_gb=9.31; latency_budget_ms=95.4; energy_sensitivity=0.39; edge_locality=0.56",0.45,0.14,0.18,0.13,0.1
prompt-000827,workload-003698,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=2; regime=burst; cpu=6.91; memory_gb=22.08; latency_budget_ms=303.5; energy_sensitivity=0.94; edge_locality=0.27",0.2,0.3,0.17,0.1,0.23
prompt-000828,workload-004963,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: hybrid microservice chain with variable compute and latency demand; priority=2; regime=energy-scarcity; cpu=3.26; memory_gb=9.72; latency_budget_ms=242.3; energy_sensitivity=0.81; edge_locality=0.33",0.26,0.28,0.15,0.15,0.16
prompt-000829,workload-000361,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=normal; cpu=2.33; memory_gb=4.27; latency_budget_ms=53.9; energy_sensitivity=0.62; edge_locality=0.93",0.53,0.13,0.13,0.08,0.13
prompt-000830,workload-004847,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=energy-scarcity; cpu=1.80; memory_gb=3.06; latency_budget_ms=42.8; energy_sensitivity=0.47; edge_locality=0.76",0.45,0.18,0.11,0.1,0.16
prompt-000831,workload-002652,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=3; regime=burst; cpu=10.37; memory_gb=15.65; latency_budget_ms=301.4; energy_sensitivity=0.75; edge_locality=0.24",0.26,0.27,0.17,0.1,0.2
prompt-000832,workload-002174,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=2; regime=high-contention; cpu=4.71; memory_gb=9.88; latency_budget_ms=242.3; energy_sensitivity=0.74; edge_locality=0.10",0.2,0.3,0.17,0.1,0.23
prompt-000833,workload-001773,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=3; regime=high-contention; cpu=1.01; memory_gb=3.18; latency_budget_ms=85.5; energy_sensitivity=0.20; edge_locality=0.51",0.51,0.11,0.18,0.13,0.07
prompt-000834,workload-003298,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=2; regime=burst; cpu=2.38; memory_gb=8.03; latency_budget_ms=92.7; energy_sensitivity=0.29; edge_locality=0.62",0.45,0.14,0.18,0.13,0.1
prompt-000835,workload-003149,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=burst; cpu=3.74; memory_gb=0.74; latency_budget_ms=49.0; energy_sensitivity=0.38; edge_locality=0.90",0.53,0.13,0.13,0.08,0.13
